Source_Material,Outcome,Specimen_Storage_Time_Comparison,ICC_adjusted,ICC_adjusted_CI_lower,ICC_adjusted_CI_upper
Saliva,RA_Megasphaera,5 Years,0.954569622793136,0.906218325682796,0.984368018732678
Saliva,RA_Prevotella,1 Month,0.892581635145063,0.753149445490418,0.945511771187696
Saliva,RA_Prevotella,12 Months,0.833445902301207,0.588161312278201,0.942553856184652
Saliva,RA_Prevotella,5 Years,0.822150396154791,0.679391024156128,0.927379283899825
Saliva,RA_Streptococcus,1 Month,0.822876116396982,0.590674552673488,0.932457596498829
Saliva,RA_Streptococcus,12 Months,0.766477057867152,0.502423582636761,0.935147940238374
Saliva,RA_Streptococcus,5 Years,0.658071542686778,0.318570213594309,0.870900941935745
Saliva,RA_Fusobacterium,1 Month,0.802216371521184,0.536708424809257,0.935062516756114
Saliva,RA_Fusobacterium,12 Months,0.813855403317668,0.627890153080486,0.924649004722874
Saliva,RA_Fusobacterium,5 Years,0.717094170761826,0.352169677234833,0.922281796462677
Saliva,RA_Leptotrichia,1 Month,0.807808008246067,0.586597983735463,0.911715989173386
Saliva,RA_Leptotrichia,12 Months,0.709904182191221,0.224012789754126,0.859399034074825
Saliva,RA_Leptotrichia,5 Years,0.540907331398245,0.183999981150793,0.762016676302924
Saliva,RA_Alloprevotella,1 Month,0.930574660821473,0.780941803785065,0.971561332136442
Saliva,RA_Alloprevotella,12 Months,0.893039639836527,0.812893520876599,0.954456649362011
Saliva,RA_Alloprevotella,5 Years,0.846274641904895,0.675655390124903,0.928236632901594
Saliva,RA_Porphyromonas,1 Month,0.876715980116958,0.737738173306507,0.94617984446146
Saliva,RA_Porphyromonas,12 Months,0.859265410221684,0.684708795770507,0.954719770761279
Saliva,RA_Porphyromonas,5 Years,0.732871021450434,0.514685087825546,0.879008638675911
Saliva,RA_Rothia,1 Month,0.454976607084659,0.0242740570190237,0.7281972406828
Saliva,RA_Rothia,12 Months,0.58504508890256,0.105934968682392,0.809281460847775
Saliva,RA_Rothia,5 Years,0.669897933996513,0.163921156121532,0.85135508211875
Saliva,RA_Veillonella,1 Month,0.892613647613865,0.794264498537613,0.958912251715675
Saliva,RA_Veillonella,12 Months,0.819343468569657,0.505698022665091,0.914229611342419
Saliva,RA_Veillonella,5 Years,0.74523468517177,0.491755698754048,0.922130679991582
Saliva,RA_Gemella,1 Month,0.711298511136703,0.412577820763826,0.882742950994573
Saliva,RA_Gemella,12 Months,0.506784529089621,0.169393257032177,0.790640657787369
Saliva,RA_Gemella,5 Years,0.388155971042043,0.0104344368172814,0.778163166557471
Saliva,RA_Actinomyces,1 Month,0.385590212732618,0.0335025642209699,0.769258276563227
Saliva,RA_Actinomyces,12 Months,0.533664680190976,0.198235789194102,0.781278285450339
Saliva,RA_Actinomyces,5 Years,0.44285149199493,0.0601801929179549,0.728984414487021
Saliva,RA_Haemophilus,1 Month,0.877743801394514,0.703111894943503,0.953420285688456
Saliva,RA_Haemophilus,12 Months,0.866939023822319,0.475736414758015,0.95125478114141
Saliva,RA_Haemophilus,5 Years,0.829369017136747,0.658861521002945,0.920296890493711
Saliva,RA_Granulicatella,1 Month,0.744627047092047,0.445380059060976,0.930960626184167
Saliva,RA_Granulicatella,12 Months,0.452275903406574,0.0106961184760244,0.77609928826856
Saliva,RA_Granulicatella,5 Years,0.365392395994193,0.0108704054983416,0.746764231733277
Saliva,RA_clr_Neisseria,1 Month,0.976026291901352,0.949713079501009,0.993236821097066
Saliva,RA_clr_Neisseria,12 Months,0.984988079903177,0.953521272836625,0.992478553211658
Saliva,RA_clr_Neisseria,5 Years,0.986266251100771,0.967171651923972,0.995210380653088
Saliva,RA_clr_Megasphaera,1 Month,0.985154726596292,0.958280818065452,0.995826327373164
Saliva,RA_clr_Megasphaera,12 Months,0.990173773499533,0.97377055194172,0.996172433668997
Saliva,RA_clr_Megasphaera,5 Years,0.983892500183345,0.953395986049068,0.994463721711739
Saliva,RA_clr_Prevotella,1 Month,0.871444295467097,0.726506915470648,0.948321434080256
Saliva,RA_clr_Prevotella,12 Months,0.819868172571715,0.533659644866832,0.922977376890318
Saliva,RA_clr_Prevotella,5 Years,0.824780313410359,0.638875071027757,0.955763841296269
Saliva,RA_clr_Streptococcus,1 Month,0.799489866116812,0.612243927833022,0.908073928246619
Saliva,RA_clr_Streptococcus,12 Months,0.813984661563189,0.546486933664471,0.924920633368373
Saliva,RA_clr_Streptococcus,5 Years,0.764163046426385,0.486713899949704,0.892528557315513
Saliva,RA_clr_Fusobacterium,1 Month,0.837555379601953,0.613276611622152,0.936762190182458
Saliva,RA_clr_Fusobacterium,12 Months,0.814289990665937,0.53593500635789,0.934631828594695
Saliva,RA_clr_Fusobacterium,5 Years,0.67998197317665,0.225018609725397,0.894308691427352
Saliva,RA_clr_Leptotrichia,1 Month,0.876537579995985,0.702735867049029,0.945307283297013
Saliva,RA_clr_Leptotrichia,12 Months,0.891513192767315,0.686812571495776,0.962076350761902
Saliva,RA_clr_Leptotrichia,5 Years,0.792876101138091,0.514949618179913,0.91912003635212
Saliva,RA_clr_Alloprevotella,1 Month,0.883624418017151,0.772573441578094,0.94730381421838
Saliva,RA_clr_Alloprevotella,12 Months,0.831078636925551,0.580770834780128,0.934074265226743
Saliva,RA_clr_Alloprevotella,5 Years,0.813041304364557,0.516912120782883,0.928662358881226
Saliva,RA_clr_Porphyromonas,1 Month,0.923284811068726,0.836816649328893,0.97615932646615
Saliva,RA_clr_Porphyromonas,12 Months,0.897102182350325,0.773520296548552,0.958714096345409
Saliva,RA_clr_Porphyromonas,5 Years,0.888302753964089,0.745619515863784,0.950893790229709
Saliva,RA_clr_Rothia,1 Month,0.6853938244454,0.357900904693116,0.825569854564086
Saliva,RA_clr_Rothia,12 Months,0.770615193171468,0.511899508666951,0.901133407443951
Saliva,RA_clr_Rothia,5 Years,0.771803851544342,0.427027522780501,0.905604965901509
